"OBJECTID","TIPO","NOMBRE","SHAPE_Length","INICIOX","INICIOY","FINALX","FINALY","CENTROIDEX","CENTROIDEY"
3904,"","BOSQUE SAN ISIDRO",339.504104,670357.728646,2299248.359843,670620.188934,2299415.159459,670492.451200,2299341.315339
3905,"","MANANTIALES DE LOS",320.341193,670705.504646,2299562.239395,670389.462406,2299514.837411,670547.767462,2299534.458768
3906,"","MANGOS DE LOS",120.997663,669714.262917,2299235.886243,669595.064069,2299252.903971,669655.392018,2299248.543475
3907,"","COBOS CIRCUITO MAESTRO LUIS",825.767847,670336.958086,2299291.731747,669656.776709,2298996.212515,670004.175873,2299089.357772
3908,"","MANGOS DE LOS",385.257510,669714.262917,2299235.886243,670075.321734,2299281.777827,669902.153055,2299215.023578
3909,"","BOSQUE DE LOS COLOMOS",214.549285,670963.035399,2299200.472355,670847.988230,2299183.111075,670857.516304,2299184.316911
3910,"","BOSQUES DE SAN ISIDRO SUR",405.653934,671011.987079,2299524.163363,670755.201926,2299210.491811,670885.676935,2299365.780407
3911,"","BOSQUE SAN ISIDRO",179.852062,670780.381062,2299582.592675,670929.883014,2299668.920227,670862.003029,2299614.428897
3912,"","MALINALI",198.136786,671082.085255,2298331.051938,671202.194311,2298399.773858,671131.978576,2298336.470191
3913,"","MALINALI",319.170625,671287.498887,2298703.190307,671202.194311,2298399.773858,671248.653093,2298551.394172
3914,"","LAUIRELES",112.492172,671031.909383,2297950.289698,671077.640839,2298053.045666,671055.106044,2298001.529693
3915,"","LAURELES",241.108614,671095.072007,2298292.692002,671077.640839,2298053.045666,671082.147554,2298173.261547
3916,"","PASEO DE LOS CEREZOS",211.922297,671259.806343,2296807.825825,671259.806343,2296809.087393,671290.474732,2296910.513301
3917,"","PASEO DE LOS BOSQUES",50.693252,671299.857799,2297016.086177,671271.913351,2296973.790625,671285.885575,2296994.938401
3918,"","PASEO DE LOS HUILOTES",178.154513,670876.584198,2297024.040865,671035.685255,2296943.884705,670956.268948,2296984.230807
3919,"","P. DE LOS HUIZACHES",230.239772,671122.009095,2297160.758817,671044.332679,2296944.744225,671077.125529,2297054.749130
3920,"","PASEO DE LOS CEDROS",491.961978,671291.421831,2296910.427809,671061.229703,2296988.765473,671511.633871,2296801.226518
3921,"","PASEO DE LOS ALAMOS",49.337223,671173.024903,2297003.017377,671154.104967,2296957.452065,671163.564937,2296980.234720
3922,"","PASEO DE LOS ALAMOS",53.847803,671192.845959,2297053.084449,671173.024903,2297003.017377,671182.935431,2297028.050913
3923,"","PASEO DE LOS ALAMOS",23.923915,671146.964615,2296934.620449,671154.104967,2296957.452065,671150.645504,2296946.001990
3924,"","PASEO DE LOS ALAMOS",160.395897,671102.674439,2296780.519585,671146.964615,2296934.620449,671122.958461,2296858.099762
3925,"","PASEO DE LOS BOSQUES",134.892429,671206.782855,2296796.455841,671241.672711,2296928.019617,671224.227803,2296862.868508
3926,"","PASEO DE LOS BOSQUES",54.858741,671271.913351,2296973.790625,671241.672711,2296928.019617,671256.793031,2296950.905121
3927,"","PASEO DE LOS AHUEHUETES",97.209651,671214.076807,2296823.696161,671305.394951,2296790.368801,671259.735886,2296807.032500
3928,"","PASEO DE LOS CEDROS",113.297999,671192.845959,2297053.084449,671299.857799,2297016.086177,671246.010616,2297033.681349
3929,"","LAGUNA SALADA",40.352692,670507.963782,2298806.054051,670527.717510,2298770.866979,670517.840646,2298788.460515
3930,"","LAGUNA SALADA",35.186094,670489.701766,2298836.127651,670507.963782,2298806.054051,670498.882459,2298821.119980
3931,"","LAGUNA SALADA",36.212943,670468.666630,2298865.592611,670489.701766,2298836.127651,670479.300111,2298850.937462
3932,"","BOSQUES DE SAN ISIDRO SUR",98.326371,670527.717510,2298770.866979,670598.703878,2298836.937891,670567.264262,2298800.074397
3933,"","BOSQUES DE SAN ISIDRO SUR",97.353209,670326.826118,2298620.810530,670248.887814,2298562.472994,670287.856966,2298591.641762
3934,"","BOSQUES DE SAN ISIDRO SUR",187.661562,670097.452678,2298451.639074,670248.887814,2298562.472994,670173.185561,2298507.035337
3935,"","LAGOS DE LOS",180.746071,670281.443078,2298680.796067,670136.305286,2298573.073442,670208.874182,2298626.934755
3936,"","LAGOS DE LOS",47.608484,670281.443078,2298680.796067,670319.559558,2298709.321507,670300.502830,2298695.056758
3937,"","LAGO DE LOS CISNES",271.598490,670301.707782,2298653.789731,670080.045062,2298505.117986,670192.401702,2298573.207823
3938,"","LAGUNA ENCANTADA",33.763892,670281.443078,2298680.796067,670301.707782,2298653.789731,670291.575430,2298667.292899
3939,"","BOSQUES DE SAN ISIDRO SUR",29.188288,670097.452678,2298451.639074,670070.801286,2298463.541154,670084.126982,2298457.590114
3940,"","BOSQUE NACIONAL",159.133867,670345.526278,2298436.798882,670248.887814,2298562.472994,670295.944087,2298498.312227
3941,"","LAGUNA ENCANTADA",41.455677,670301.707782,2298653.789731,670326.826118,2298620.810530,670314.247164,2298637.285154
3942,"","LAGOS DE LOS",42.592022,670080.045062,2298505.117986,670070.801286,2298463.541154,670075.423174,2298484.329570
3943,"","LAGOS DE LOS",32.838242,670089.185670,2298536.353698,670080.045062,2298505.117986,670083.608602,2298521.145735
3944,"","LAGOS DE LOS",60.024191,670089.185670,2298536.353698,670136.305286,2298573.073442,670112.205758,2298555.186613
3945,"","LAGO DE LOS CISNES",256.382521,670301.707782,2298653.789731,670507.963782,2298806.054051,670405.358242,2298729.217419
3946,"","LAGOS DE LOS",212.209336,670489.701766,2298836.127651,670319.559558,2298709.321507,670404.502851,2298772.904819
3947,"","BOSQUES DE SAN ISIDRO SUR",250.748138,670527.717510,2298770.866979,670326.826118,2298620.810530,670427.197109,2298695.939229
3948,"","BOSQUES DE CHAPULTEPEC",410.565406,670345.526278,2298436.798882,670685.275270,2298657.676835,670514.765325,2298544.855594
3949,"","BOSQUES DE VIENA",128.067747,669477.916677,2298224.912546,669582.670853,2298267.902498,669526.081546,2298240.384644
3950,"","DEL FRESNO",134.205273,669405.655045,2298539.377186,669510.271237,2298507.095970,669455.367917,2298545.675619
3951,"","DE LAS ROSAS",100.352512,669380.305541,2298470.279970,669301.260549,2298524.377506,669339.520115,2298499.460073
3952,"","PUENTE VIEJO",116.909075,669293.999621,2298392.734626,669380.305541,2298471.541538,669337.279255,2298432.025861
3953,"","PUENTE VIEJO",136.250827,669510.271237,2298508.357538,669380.305541,2298471.541538,669443.593027,2298494.390285
3954,"","BOSQUES DE PUENTE VIEJO",340.367455,669889.265286,2298526.876194,669736.811269,2298238.327458,669824.516418,2298378.691068
3955,"","LEO",110.821913,665435.716737,2287824.997272,665539.138817,2287785.180568,665487.427777,2287805.088920
3956,"","BRISAS PASEO",110.781583,665455.337985,2287875.472280,665558.686593,2287835.577112,665507.012289,2287855.524696
3957,"","PASEO DEL ROCIO",63.515895,665521.823745,2287916.394777,665580.937602,2287893.160729,665551.380673,2287904.777753
3958,"","PASEO DEL ROCIO",46.179302,665478.844929,2287933.287065,665521.823745,2287916.394777,665500.334337,2287924.840921
3959,"","SAGITARIO",61.733136,665580.937602,2287893.160729,665558.686593,2287835.577112,665569.812098,2287864.368920
3960,"","SAGITARIO",64.380941,665539.138817,2287785.180568,665515.453697,2287725.314712,665527.296257,2287755.247640
3961,"","SAGITARIO",54.055084,665539.138817,2287785.180568,665558.686593,2287835.577112,665548.944765,2287810.366305
3962,"","CANCER",61.094831,665534.576385,2287957.035929,665478.844929,2287933.287065,665506.174754,2287945.789066
3963,"","RINCONADA DE LAS LILAS",42.594988,665534.576385,2287957.035929,665521.823745,2287916.394777,665528.200065,2287936.715353
3964,"","DEL TORO PASEO",185.043057,665339.991297,2288018.614297,665339.991297,2288018.614297,665306.076835,2288088.739077
3965,"","SAGITARIO",68.173337,665515.453697,2287725.314712,665490.379137,2287661.920152,665502.913597,2287693.618547
3966,"","SAGITARIO",63.264920,665601.614338,2287952.941465,665580.937602,2287893.160729,665591.522705,2287922.961947
3967,"","SAGITARIO",60.716174,665581.618050,2288010.270361,665601.614338,2287952.941465,665591.616194,2287981.605913
3968,"","GEMINIS",140.300884,665515.453697,2287725.314712,665645.947138,2287673.782808,665580.622164,2287699.350999
3969,"","CANCER",68.811033,665412.780929,2287766.384408,665387.481601,2287702.392984,665400.131265,2287734.388696
