"OBJECTID","TIPO","NOMBRE","SHAPE_Length","INICIOX","INICIOY","FINALX","FINALY","CENTROIDEX","CENTROIDEY"
1,"","ROBERTO OROZCO DELGADO",318.760673,657571.408250,2301389.195173,657877.326330,2301478.763557,657724.367290,2301433.979365
2,"","DON BOSCO",425.339816,657996.859002,2301225.275045,657572.434426,2301253.122213,657784.605910,2301238.570545
3,"","COVARRUVIAS JUAN MANUEL",462.854976,657962.832250,2300703.202596,657501.812858,2300744.162980,657732.225181,2300722.610709
4,"","HILO AMARILLO",138.360155,657808.113530,2300244.966308,657675.328378,2300283.844388,657741.761524,2300264.543601
5,"","HILO VERDE",113.519546,657704.942586,2300331.601700,657817.024634,2300314.480932,657760.725230,2300321.671705
6,"","HILO ROJO",348.243539,657708.863098,2300396.616228,657708.206330,2300397.036452,657535.750015,2300414.170025
7,"","AGUJAS",237.385223,657711.658618,2300055.451044,657941.958010,2300112.460324,657826.917406,2300083.591056
8,"","GENERAL RAMON CORONA",8217.881679,661232.267389,2293156.869405,654297.490935,2296667.183137,656792.681037,2294257.673033
9,"","LOMA BONITA",44.672097,657268.275578,2301658.988197,657274.294906,2301703.252901,657271.285242,2301681.120549
10,"","LOMA ALEGRE",122.154261,657486.384634,2301722.117669,657365.306106,2301738.204325,657425.809102,2301729.926366
11,"","LOMA VERDE",85.506599,657359.032698,2301692.212261,657274.294906,2301703.252901,657316.672426,2301697.991087
12,"","LOMA REAL",38.698367,657286.604026,2301793.554981,657325.015290,2301788.849829,657305.809658,2301791.202405
13,"","LOMA REAL",76.136929,657415.668730,2301777.096357,657491.099514,2301766.750885,657453.384122,2301771.923621
14,"","LOMA REAL",43.933881,657372.142330,2301783.066149,657415.668730,2301777.096357,657393.905530,2301780.081253
15,"","LOMA REAL",47.480693,657372.142330,2301783.066149,657325.015290,2301788.849829,657348.579520,2301785.963462
16,"","LOMA BAJA",90.176280,657343.908986,2301921.244454,657433.463162,2301910.670374,657388.686074,2301915.957414
17,"","LOMA BLANCA",44.119363,657337.663866,2301877.576102,657343.908986,2301921.244454,657340.876364,2301899.394219
18,"","LOMA BLANCA",44.599950,657331.026298,2301833.483685,657337.663866,2301877.576102,657334.176834,2301855.559899
19,"","LOMA SECA",43.828323,657421.403898,2301821.552293,657427.421562,2301864.951974,657424.207668,2301843.286354
20,"","LOMA DEL NORTE",82.373566,657337.663866,2301877.576102,657255.820410,2301886.891814,657296.750141,2301882.297444
21,"","LOMA DEL BOSQUE",43.163562,657520.539898,2301896.935462,657514.463354,2301854.201766,657517.501626,2301875.568614
22,"","LOMA DEL BOSQUE",45.543766,657508.273274,2301809.080741,657514.463354,2301854.201766,657511.370704,2301831.640891
23,"","RAMON OROZCO",54.778297,657573.043450,2301307.897125,657572.434426,2301253.122213,657572.738938,2301280.509669
24,"","RAMON OROZCO",81.359749,657571.408250,2301389.195173,657573.043450,2301307.897125,657571.652147,2301348.553201
25,"","LOMA AZUL",86.530196,657245.203066,2301844.522150,657331.026298,2301833.483685,657288.114682,2301839.002918
26,"","LOMA DEL BOSQUE",44.264736,657508.273274,2301809.080741,657501.693178,2301765.307813,657504.983226,2301787.194277
27,"","LOMA DEL OCAMPO",87.760059,657421.403898,2301821.552293,657508.273274,2301809.080741,657464.838586,2301815.316517
28,"","LOMA DEL NORTE",87.716608,657514.463354,2301854.201766,657427.421562,2301864.951974,657470.961539,2301859.782355
29,"","LOMA DEL NORTE",90.658478,657337.663866,2301877.576102,657427.421562,2301864.951974,657382.523678,2301871.069963
30,"","LOMA SECA",44.824350,657421.403898,2301821.552293,657415.668730,2301777.096357,657418.536314,2301799.324325
31,"","LOMA SECA",46.122816,657433.463162,2301910.670374,657427.421562,2301864.951974,657430.538922,2301887.795117
32,"","LOMA BLANCA",45.036799,657331.026298,2301833.483685,657325.015290,2301788.849829,657328.020794,2301811.166757
33,"","LOMA BAJA",70.826458,657558.592378,2301893.532710,657629.166202,2301888.129574,657593.818552,2301890.100063
34,"","LOMA BAJA",38.206439,657520.539898,2301896.935462,657558.592378,2301893.532710,657539.562313,2301895.202921
35,"","LOMA BAJA",88.153667,657433.463162,2301910.670374,657520.539898,2301896.935462,657477.002787,2301903.812035
36,"","LOMA DEL BOSQUE",44.881555,657491.099514,2301766.750885,657486.384634,2301722.117669,657488.742074,2301744.434277
37,"","LOMA REAL",65.332366,657501.693178,2301765.307813,657566.435066,2301756.543909,657534.064122,2301760.925861
38,"","LOMA REAL",10.691504,657491.099514,2301766.750885,657501.693178,2301765.307813,657496.395738,2301766.024889
39,"","LOMA VERDE",127.170515,657485.202682,2301676.294821,657359.032698,2301692.212261,657422.103145,2301684.138688
40,"","LOMA ALEGRE",75.291728,657486.384634,2301722.117669,657560.860026,2301711.083941,657523.636371,2301716.706273
41,"","LOMA ALEGRE",85.409998,657280.700026,2301749.842341,657365.306106,2301738.204325,657323.026448,2301744.168634
42,"","LOMA LINDA",45.458909,657372.142330,2301783.066149,657365.306106,2301738.204325,657368.341062,2301760.656810
43,"","LOMA LINDA",46.484525,657359.032698,2301692.212261,657365.306106,2301738.204325,657362.517972,2301715.191723
44,"","LOMA LINDA",45.117801,657352.619002,2301647.552677,657359.032698,2301692.212261,657355.822940,2301669.882899
45,"","LOMA DEL MONTE",85.115123,657352.619002,2301647.552677,657268.275578,2301658.988197,657310.447291,2301653.270448
46,"","LOMA LINDA",176.530850,657370.093562,2301778.715685,657346.166266,2301603.813925,657358.129925,2301691.264804
47,"","LOMA BONITA",44.109546,657280.700026,2301749.842341,657286.604026,2301793.554981,657283.652026,2301771.698661
48,"","LOMA BONITA",47.027667,657280.700026,2301749.842341,657274.294906,2301703.252901,657277.496975,2301726.547688
49,"","LOMA BONITA",46.477741,657262.039418,2301612.930725,657268.275578,2301658.988197,657265.157498,2301635.959461
50,"","HILO BLANCO",71.187922,657495.714426,2300673.236772,657501.812858,2300744.162980,657498.771303,2300708.699210
51,"","CAPULINES",240.852383,657270.618362,2300757.658532,657495.714426,2300671.975204,657383.166404,2300714.816896
52,"","COVARRUVIAS JUAN MANUEL",240.092733,657274.922618,2300822.287013,657501.812858,2300744.162980,657387.783950,2300781.385655
53,"","RAMON OROZCO",206.143492,657562.688506,2301047.263781,657572.434426,2301253.122213,657566.439234,2301150.226366
54,"","EMILIANO ZAPATA",236.768202,656999.181306,2301571.454757,656977.291898,2301807.203621,656988.186589,2301689.321896
55,"","BENITO JUAREZ",53.039155,657052.092794,2301573.974437,656999.181306,2301571.454757,657025.633131,2301572.200892
56,"","LOMA DEL VALLE",23.448908,657125.346810,2301618.100901,657102.009594,2301620.384805,657113.679227,2301619.252336
57,"","LOMA DEL VALLE",44.935843,657169.917562,2301612.398245,657125.346810,2301618.100901,657147.656761,2301615.441279
58,"","LOMA REAL",44.804782,657238.896378,2301799.835685,657194.424954,2301805.291045,657216.660666,2301802.563365
59,"","LOMA REAL",23.641167,657149.222650,2301810.508965,657125.725946,2301813.118501,657137.474298,2301811.813733
60,"","NIÑOS HEROES",2.631142,656974.666874,2301807.024293,656977.291898,2301807.203621,656975.979386,2301807.113957
61,"","LOMA DEL SOL",105.578597,657136.540410,2301705.694885,657149.222650,2301810.508965,657142.887862,2301758.101137
62,"","LOMA DEL PARAISO",91.078559,657238.896378,2301799.835685,657228.340346,2301709.370917,657233.618362,2301754.603301
63,"","LOMA DEL PARAISO",15.697944,657226.411130,2301693.792037,657228.340346,2301709.370917,657227.385081,2301701.580348
64,"","5 DE FEBRERO",235.910617,656943.343865,2301568.516517,656920.661625,2301803.334181,656932.002745,2301685.925349
65,"","MORENO PEDRO",36.906939,656896.220025,2301300.045477,656898.811897,2301263.240101,656897.243073,2301281.620388
66,"","EMILIANO ZAPATA",132.026992,656974.666874,2301807.024293,656965.895417,2301938.759590,656970.281122,2301872.891940
67,"","HIDALGO",123.589396,657100.492410,2301577.305253,657093.206778,2301453.930789,657096.849594,2301515.618021
68,"","5 DE FEBRERO",143.558907,656943.343865,2301568.516517,656960.253177,2301426.026533,656951.349425,2301497.188185
69,"","LOMA VERDE",45.469377,657226.411130,2301693.792037,657181.395578,2301700.191141,657203.895273,2301696.938823
70,"","LOMA VERDE",45.194765,657136.540410,2301705.694885,657181.395578,2301700.191141,657158.978542,2301703.016843
71,"","LOMA DEL PARAISO",87.837864,657214.379258,2301606.782373,657226.411130,2301693.792037,657220.413769,2301650.284756
72,"","LOMA DORADA",88.545154,657169.917562,2301612.398245,657181.395578,2301700.191141,657175.747517,2301656.285290
73,"","LOMA DORADA",105.906169,657194.424954,2301805.291045,657181.395578,2301700.191141,657187.875784,2301752.744518
74,"","LOMA DEL SOL",88.306301,657136.540410,2301705.694885,657125.346810,2301618.100901,657130.942473,2301661.898039
75,"","NIÑOS HEROES",91.080720,657027.928186,2301810.682405,657118.663674,2301818.601125,657073.294201,2301814.663499
76,"","NIÑOS HEROES",50.755825,656977.291898,2301807.203621,657027.928186,2301810.682405,657002.610776,2301808.933600
77,"","HIDALGO",6.579762,657100.824186,2301583.876645,657100.492410,2301577.305253,657100.658298,2301580.590949
78,"","HIDALGO",36.528603,657102.009594,2301620.384805,657100.824186,2301583.876645,657101.483878,2301602.128071
79,"","HIDALGO",194.313554,657117.283322,2301814.056229,657102.009594,2301620.384805,657108.610582,2301717.287514
80,"","NIÑOS HEROES",8.494541,657125.725946,2301813.118501,657117.283322,2301814.056229,657121.504634,2301813.587365
81,"","LOMA REAL",45.502536,657194.424954,2301805.291045,657149.222650,2301810.508965,657171.825411,2301807.914131
82,"","LOMA DEL VALLE",44.814994,657169.917562,2301612.398245,657214.379258,2301606.782373,657192.147971,2301609.586979
83,"","BENITO JUAREZ",48.514407,657052.092794,2301573.974437,657100.492410,2301577.305253,657076.290154,2301575.673456
84,"","BENITO JUAREZ",55.985915,656943.343865,2301568.516517,656999.181306,2301571.454757,656971.268654,2301570.468917
85,"","REVOLUCION",128.763736,657052.092794,2301573.974437,657058.903546,2301445.405349,657056.273085,2301509.733458
86,"","REVOLUCION",237.939751,657027.928186,2301810.682405,657052.092794,2301573.974437,657040.071914,2301692.333932
87,"","EMILIANO ZAPATA",135.924823,657009.853434,2301435.982245,656999.181306,2301571.454757,657004.789270,2301503.755718
88,"","GARCIA PARGA JUAN",51.900023,656818.390009,2301259.210789,656766.509689,2301260.169637,656792.448114,2301259.394232
89,"","PRIV. MORELOS",58.117751,656779.534969,2301367.213989,656835.669369,2301352.160677,656807.602175,2301359.687353
90,"","GARCIA PARGA JUAN",80.715861,656898.811897,2301263.240101,656818.390009,2301259.210789,656858.617948,2301261.565249
91,"","EMILIANO ZAPATA",93.944438,656997.528826,2301003.688485,656996.854650,2301097.624485,656997.442497,2301050.655944
92,"","MORENO PEDRO",100.739539,656906.692985,2300911.410725,656905.110393,2301012.117797,656905.588181,2300961.768377
93,"","MORENO PEDRO",100.267439,656901.778169,2301112.273061,656905.110393,2301012.117797,656904.190067,2301062.199767
94,"","MORENO PEDRO",77.303940,656900.913913,2301189.572133,656901.778169,2301112.273061,656901.363980,2301150.922812
95,"","CORREGIDORA",98.503169,656900.913913,2301189.572133,656998.367482,2301175.353381,656949.749239,2301183.208269
96,"","DIEGUEZ MANUEL M. GRAL.",96.014463,656996.854650,2301098.886053,656901.778169,2301112.273061,656949.323355,2301105.629224
97,"","EMILIANO ZAPATA",106.012741,656997.654266,2300897.819813,656997.528826,2301003.688485,656996.915978,2300950.817362
98,"","EMILIANO ZAPATA",76.496579,656998.367482,2301174.091813,656996.854650,2301097.624485,656998.116769,2301135.846826
99,"","MANUEL M. DIEGUEZ",297.082225,657214.600314,2301064.191397,656997.528826,2301003.688485,657144.549196,2300983.441719
100,"","MANUEL M. DIEGUEZ",92.696246,656905.110393,2301010.856229,656997.528826,2301003.688485,656951.316265,2301007.227731
101,"","COVARRUVIAS JUAN MANUEL",80.060846,657076.299002,2300884.369573,656997.654266,2300899.081381,657037.064135,2300892.060550
102,"","COVARRUVIAS JUAN MANUEL",91.909550,656906.692985,2300911.410725,656997.654266,2300899.081381,656952.012555,2300903.796397
103,"","LOPEZ MATEOS",3.165684,656652.850169,2301042.593061,656653.298169,2301045.726885,656653.074163,2301044.159974
104,"","LOPEZ MATEOS",45.459700,656677.484665,2301142.069797,656665.408633,2301098.244901,656671.374582,2301120.176579
105,"","COVARRUVIAS JUAN MANUEL",16.313792,656591.500537,2300946.089509,656575.316601,2300948.143781,656583.408569,2300947.116645
106,"","COVARRUVIAS JUAN MANUEL",1.459459,656625.445497,2300941.771941,656626.892153,2300941.579045,656626.168825,2300941.675493
107,"","AV. DE LA PRESA",268.680808,656350.392569,2300631.360932,656611.320697,2300694.288292,656480.887504,2300663.271248
108,"","MANUEL M. DIEGUEZ",111.250767,656763.206905,2301027.440165,656652.850169,2301041.331493,656708.109710,2301034.962309
109,"","MANUEL M. DIEGUEZ",57.578813,656820.331129,2301020.277029,656763.206905,2301027.440165,656791.734072,2301023.599337
110,"","DIEGUEZ MANUEL M. GRAL.",110.840634,656787.254521,2301127.387301,656677.484665,2301142.069797,656732.131991,2301132.845839
111,"","MORELOS",75.520684,656787.254521,2301127.387301,656804.973177,2301200.799909,656796.143936,2301164.086315
112,"","PEDRO MORENO",41.152592,656817.777657,2300979.303205,656820.331129,2301020.277029,656819.372130,2300999.723093
113,"","RIO BLANCO",243.272397,656351.070201,2300587.302820,656588.122233,2300535.025060,656470.536056,2300566.071297
114,"","RIO VERDE",156.139288,656534.648441,2300550.055204,656519.701881,2300394.645028,656527.502306,2300472.318150
115,"","JUAREZ",62.981823,656755.510649,2300988.765221,656817.777657,2300979.303205,656786.644153,2300984.034213
116,"","PEDRO MORENO",58.907668,656817.777657,2300979.303205,656814.908281,2300920.523941,656817.026775,2300949.901489
117,"","MORELOS",59.866167,656755.510649,2300990.026789,656745.754489,2300930.960933,656750.632569,2300960.493861
118,"","MORELOS",39.435474,656763.206905,2301028.701733,656755.510649,2300990.026789,656759.479610,2301009.340942
119,"","MORELOS",101.651266,656787.254521,2301127.387301,656763.206905,2301028.701733,656774.820779,2301078.173887
120,"","MANUEL M. DIEGUEZ",63.076860,656592.141561,2301059.910693,656653.298169,2301044.465317,656622.719858,2301052.187976
121,"","ACUEDUCTO",96.536063,656461.700345,2300734.626084,656539.908729,2300678.035364,656500.757380,2300706.266106
122,"","5 DE MAYO",86.342244,656513.196409,2300808.049189,656466.852473,2300735.198500,656490.024441,2300771.623845
123,"","LOPEZ MATEOS",108.904033,656553.151353,2300681.792548,656560.235641,2300790.463909,656556.436469,2300736.144590
124,"","LOPEZ MATEOS",140.264609,656625.445497,2300941.771941,656620.472057,2300801.611173,656623.672939,2300871.670294
125,"","LOPEZ MATEOS",106.943265,656611.320697,2300695.549860,656620.472057,2300801.611173,656618.085583,2300748.193841
126,"","COVARRUVIAS JUAN MANUEL",69.867948,656745.754489,2300930.960933,656814.908281,2300921.785509,656780.164391,2300924.932564
127,"","COVARRUVIAS JUAN MANUEL",119.350871,656626.892153,2300941.579045,656745.754489,2300930.960933,656686.356296,2300936.650682
128,"","COVARRUVIAS JUAN MANUEL",34.218468,656591.500537,2300946.089509,656625.445497,2300941.771941,656608.473602,2300943.935217
129,"","LOPEZ MATEOS",54.004045,656653.298169,2301045.726885,656665.408633,2301098.244901,656658.503685,2301072.140669
130,"","LOPEZ MATEOS",104.296320,656626.892153,2300941.579045,656652.850169,2301042.593061,656639.842318,2300992.093635
131,"","CORREGIDORA",96.637029,656900.913913,2301189.572133,656804.973177,2301200.799909,656852.790322,2301193.857317
132,"","DIEGUEZ MANUEL M. GRAL.",115.655554,656901.778169,2301112.273061,656787.254521,2301127.387301,656844.365339,2301118.331319
133,"","MANUEL M. DIEGUEZ",85.319612,656905.110393,2301010.856229,656820.331129,2301020.277029,656862.710205,2301015.497224
134,"","COVARRUVIAS JUAN MANUEL",92.509513,656814.908281,2300921.785509,656906.692985,2300911.410725,656860.661499,2300915.337134
135,"","EMILIANO ZAPATA",259.509902,656998.367482,2301174.091813,656997.790842,2301433.588773,656998.216838,2301303.837472
136,"","MORELOS",60.101149,656804.973177,2301200.799909,656818.390009,2301259.210789,656810.925832,2301230.255009
137,"","MORENO PEDRO",73.703897,656900.913913,2301189.572133,656898.811897,2301263.240101,656900.084328,2301226.410180
138,"","LOPEZ MATEOS",251.312265,656677.484665,2301142.069797,656683.568761,2301374.704293,656710.447793,2301263.320904
139,"","LOMA BONITA",12.065840,657262.039418,2301612.930725,657260.420474,2301600.973989,657261.229946,2301606.952357
140,"","LOMA REAL",48.119433,657238.896378,2301799.835685,657286.604026,2301793.554981,657262.752126,2301796.710428
141,"","LOMA DEL PARAISO",89.233244,657238.896378,2301799.835685,657252.518266,2301888.023078,657245.707302,2301843.929385
142,"","COVARRUVIAS JUAN MANUEL",209.289302,657274.922618,2300822.287013,657076.299002,2300884.369573,657176.280796,2300857.219721
143,"","BENITO JUAREZ",270.855142,657100.824186,2301583.876645,657371.150714,2301566.962853,657235.987450,2301575.419749
144,"","PROL. MANUEL M. DIEGUEZ",348.531646,657562.688506,2301047.263781,657214.600314,2301064.191397,657388.639292,2301055.328929
145,"","LOMA VERDE",46.360022,657228.340346,2301709.370917,657274.294906,2301703.252901,657251.317626,2301706.311909
146,"","DEDAL",65.323112,657704.942586,2300330.340132,657708.863098,2300395.354660,657708.187406,2300362.700094
147,"","DEDAL",55.408033,657704.942586,2300330.340132,657675.328378,2300283.844388,657691.788521,2300306.064099
148,"","DEDAL",79.877831,657575.018106,2300019.006756,657595.024378,2300096.268964,657584.489553,2300057.744613
149,"","HILO MATIZADO",50.253557,657440.790778,2300164.429732,657391.353082,2300173.439780,657416.048140,2300168.801988
150,"","HILO BLANCO",46.755653,657444.364666,2300194.362788,657452.097914,2300240.474276,657448.207494,2300217.422434
151,"","HILO BLANCO",88.247163,657399.069690,2299992.123172,657422.858746,2300076.852772,657409.721895,2300034.941637
152,"","ANTIGUO CAMINO A TESISTAN",300.460489,657395.553530,2299976.728100,657687.752698,2300046.695204,657541.558631,2300012.105880
153,"","LA PALMA",191.446771,657209.478522,2300004.720548,657399.069690,2299990.861604,657304.911183,2300008.051151
154,"","HILO BLANCO",14.564316,657399.069690,2299992.123172,657395.553530,2299977.989668,657397.311639,2299985.056412
155,"","HILO BLANCO",91.009363,657440.790778,2300165.691300,657422.858746,2300076.852772,657433.530417,2300120.769555
156,"","HILO BLANCO",28.901241,657444.364666,2300194.362788,657440.790778,2300165.691300,657442.347324,2300180.057844
157,"","HILO BLANCO",95.738428,657468.419962,2300334.808484,657452.097914,2300240.474276,657460.413004,2300287.615558
158,"","HILO AZUL",107.733016,657525.596154,2300143.050020,657501.050746,2300038.273956,657512.396440,2300090.932060
159,"","HILO AZUL",85.076401,657525.596154,2300143.050020,657537.292026,2300227.162276,657532.412833,2300185.038437
160,"","HILO AZUL",101.744103,657553.698938,2300327.557796,657537.292026,2300227.162276,657545.909393,2300277.285651
161,"","HILO MATIZADO",79.453789,657525.596154,2300143.050020,657601.843066,2300120.892836,657563.472766,2300131.185856
162,"","HILO MATIZADO",87.669355,657440.790778,2300164.429732,657525.596154,2300143.050020,657483.100979,2300153.803582
163,"","HILO ROSA",91.890838,657628.321530,2300214.723236,657537.292026,2300227.162276,657582.833331,2300221.185893
164,"","HILO ROSA",86.050212,657452.097914,2300239.212708,657537.292026,2300227.162276,657494.737761,2300233.467864
165,"","HILO VERDE",87.212705,657468.419962,2300334.808484,657553.698938,2300328.819364,657511.974602,2300332.685440
166,"","DEDAL",25.652636,657601.843066,2300120.892836,657595.024378,2300096.268964,657597.404427,2300108.872527
167,"","DEDAL",97.640649,657601.843066,2300120.892836,657628.321530,2300214.723236,657614.159728,2300168.090954
168,"","HILO AMARILLO",78.524594,657589.068794,2300286.656676,657666.424058,2300273.155748,657627.746426,2300279.906212
169,"","HILO VERDE",162.555639,657553.698938,2300328.819364,657704.942586,2300331.601700,657624.421578,2300342.366523
170,"","DEDAL",83.643430,657628.321530,2300214.723236,657675.328378,2300283.844388,657651.590649,2300249.434735
171,"","RIO",200.920065,657209.478522,2300004.720548,657086.009466,2299959.656100,657127.150491,2300011.314719
172,"","RIO",25.247143,657085.098362,2299874.547492,657085.368698,2299899.793188,657085.233530,2299887.170340
173,"","RIO",59.866341,657085.368698,2299899.793188,657086.009466,2299959.656100,657085.689082,2299929.724644
174,"","RIO TUXPAN",109.928965,656977.589242,2299977.806372,657086.009466,2299959.656100,657031.799354,2299968.731236
175,"","RIO NILO",100.082447,656985.110394,2300033.350692,657084.110714,2300018.673060,657034.610554,2300026.011876
176,"","RIO SANTIAGO",115.879237,656970.606201,2299915.842084,657085.368698,2299899.793188,657027.987450,2299907.817636
177,"","CAPULINES",822.984250,657209.478522,2300004.720548,657274.922618,2300821.025445,657246.600531,2300410.509434
178,"","STA MONICA",522.678252,656570.966905,2300172.580900,656577.544825,2300684.939172,656581.197806,2300433.127616
179,"","RIO ARMERIA",300.349242,656699.164409,2300281.916580,656683.523705,2299982.012068,656692.266412,2300131.902367
180,"","RIO GRIJALBA",114.304863,656627.014009,2300118.086436,656625.759993,2300003.788452,656626.386978,2300060.937444
181,"","STA MONICA",57.199973,656568.074233,2300115.454116,656570.966905,2300172.580900,656569.520569,2300144.017508
182,"","RIO LERMA",128.570190,656683.523705,2299982.012068,656564.327161,2300018.890532,656626.753624,2300003.544189
183,"","RIO SUMACINTA",55.197502,656749.502713,2300181.188644,656694.419193,2300181.937572,656721.914353,2300180.609384
184,"","RIO AMAZONAS",278.721654,656573.964665,2300238.855844,656851.951097,2300257.223972,656713.013636,2300246.369393
185,"","LLUVIA",61.915139,656519.701881,2300394.645028,656580.594041,2300383.436580,656550.147961,2300389.040804
186,"","RIO BLANCO",137.211115,656849.350265,2299958.391460,656885.990521,2300090.501028,656868.716193,2300024.206985
187,"","RIO LERMA",124.681814,656736.640121,2300011.701668,656849.350265,2299958.391460,656792.995179,2299985.046534
188,"","HILO BLANCO",339.527504,657495.714426,2300673.236772,657468.419962,2300334.808484,657482.190233,2300504.012756
189,"","LOMA ALTA",116.053984,657558.592378,2301893.532710,657573.820026,2302008.583334,657566.206202,2301951.058022
190,"","GRANIZO",44.066587,656351.070201,2300587.302820,656350.392569,2300631.360932,656350.519114,2300609.329221
191,"","HURACAN",59.735209,656431.568633,2300474.705700,656373.881337,2300489.116580,656402.364544,2300480.128770
192,"","GRANIZO",102.189713,656373.881337,2300489.116580,656351.070201,2300587.302820,656363.515858,2300539.148982
193,"","GRANIZO",332.441713,656413.880185,2300159.564324,656373.881337,2300489.116580,656398.566395,2300324.820924
194,"","TOMENTA",114.228157,656419.236857,2300526.034084,656529.202169,2300495.119652,656474.219513,2300510.576868
195,"","HURACAN",97.440261,656525.577465,2300449.086372,656431.568633,2300474.705700,656478.492866,2300461.604027
196,"","AV. DE LA LAGUNA",348.260654,656460.424953,2300288.033956,656398.199033,2300630.205732,656431.286806,2300459.663083
197,"","RIO AMAZONAS",160.970257,656410.986489,2300225.196324,656571.716473,2300233.988132,656491.351481,2300229.592228
198,"","LLUVIA",79.241095,656441.183097,2300405.319844,656519.701881,2300394.645028,656480.442489,2300399.982436
199,"","ECA DO QUEIROS",148.175201,663989.967104,2288726.692121,663842.724352,2288713.648281,663916.755971,2288716.110532
200,"","JUAN PALOMAR Y ARIAS",97.787263,663830.146176,2288531.752857,663823.400320,2288434.198553,663826.773248,2288482.975705
201,"","JUAN PALOMAR Y ARIAS",82.437421,663835.833216,2288613.993881,663830.146176,2288531.752857,663832.989696,2288572.873369
202,"","JUAN PALOMAR Y ARIAS",80.046569,663841.355264,2288693.849753,663835.833216,2288613.993881,663838.594240,2288653.921817
203,"","JUAN PALOMAR Y ARIAS",19.845808,663842.724352,2288713.648281,663841.355264,2288693.849753,663842.039808,2288703.749017
204,"","LAUWRENCE D H",165.857431,663841.355264,2288693.849753,663991.651072,2288623.708057,663916.503168,2288658.778905
205,"","GIRALDES RICARDO",253.330240,664065.144960,2288441.923993,663830.146176,2288531.752857,663945.113811,2288478.689225
206,"","HUXLEY ALDOUX",250.622701,664066.307968,2288519.010969,663835.833216,2288613.993881,663948.821797,2288559.858663
207,"","NACIONES UNIDAS",13.766145,663407.240959,2288624.197401,663419.909248,2288618.810265,663413.575101,2288621.503827
208,"","NACIONES UNIDAS",98.743865,663586.158080,2288544.411161,663496.210560,2288585.131673,663541.348930,2288565.128792
209,"","CENTRAL",64.472441,663269.819007,2288914.750873,663271.614207,2288979.070490,663272.286202,2288946.841274
210,"","CIRC. LA GAVIA",79.753356,663304.840063,2288881.118873,663310.274943,2288960.538906,663309.330100,2288920.733210
211,"","PARQUE DEL",58.519008,663494.765952,2288831.332249,663553.159552,2288827.774105,663523.932350,2288829.148599
212,"","BRISTOL",16.949916,663370.404991,2288589.500441,663386.980991,2288585.959833,663378.692991,2288587.730137
213,"","BRISTOL",39.440400,663411.216511,2288580.339737,663419.909248,2288618.810265,663415.562879,2288599.575001
214,"","BRISTOL",12.115593,663411.216511,2288580.339737,663422.043776,2288574.903193,663416.635513,2288577.632096
215,"","BRISTOL",24.924966,663386.980991,2288585.959833,663411.216511,2288580.339737,663399.165584,2288583.342779
216,"","ECA DO QUEIROS",33.309804,663552.311936,2288772.074649,663585.600000,2288772.515353,663568.966053,2288771.912999
217,"","NACIONES UNIDAS",83.404296,663419.909248,2288618.810265,663496.210560,2288585.131673,663458.084293,2288602.027146
218,"","NACIONES UNIDAS",87.146551,663407.240959,2288624.197401,663320.706047,2288633.535129,663363.916121,2288628.053041
219,"","INGLATERRA",152.713520,663081.356159,2288485.638553,663219.660415,2288420.882457,663150.508287,2288453.260505
220,"","NACIONES UNIDAS",76.199376,662948.763007,2288884.359577,662875.036031,2288903.611417,662911.919857,2288894.063625
221,"","NACIONES UNIDAS",64.664051,663187.544447,2288711.811865,663144.681343,2288760.215193,663166.381962,2288736.255865
222,"","MALAGA",9.945856,663063.960063,2288985.795482,663066.698367,2288995.356954,663065.329215,2288990.576218
223,"","MALAGA",12.717907,663234.210815,2288963.375770,663233.605375,2288950.672281,663233.908095,2288957.024025
224,"","MALAGA",24.544745,663231.771647,2288916.321945,663229.278463,2288891.904153,663230.525055,2288904.113049
225,"","ANDALUCIA",21.718923,663214.941823,2288839.535641,663207.903359,2288818.988825,663211.422591,2288829.262233
226,"","ANDALUCIA",16.225540,663220.200063,2288854.885529,663214.941823,2288839.535641,663217.570943,2288847.210585
227,"","ANDALUCIA",234.369507,663034.746367,2288891.546265,663207.903359,2288818.988825,663131.077462,2288825.354919
228,"","CADIZ",21.881979,662917.497599,2288852.240665,662938.716671,2288846.895385,662928.107135,2288849.568025
229,"","CADIZ",31.293492,662968.377855,2288836.963097,662938.716671,2288846.895385,662953.598051,2288842.099054
230,"","MALLORCA VILLA",25.747988,663060.898559,2288782.108185,663040.174847,2288797.369113,663050.729786,2288790.003486
231,"","IBIZA",17.581633,663094.174975,2288755.500441,663106.690815,2288743.152665,663100.432895,2288749.326553
232,"","IBIZA",15.066082,663116.690687,2288731.906457,663106.690815,2288743.152665,663111.882566,2288737.705481
233,"","IBIZA",45.740530,663145.641983,2288696.498713,663116.690687,2288731.906457,663131.042294,2288714.100381
234,"","IBIZA",4.006863,663102.210303,2288538.418201,663105.905407,2288536.868633,663104.057852,2288537.643410
235,"","OXFORD",15.125836,663198.649599,2288500.293145,663183.954943,2288502.810521,663191.490704,2288502.170179
236,"","OXFORD",52.963064,663198.649599,2288500.293145,663246.269183,2288477.132953,663222.374076,2288488.547655
237,"","IBIZA",39.810317,663116.690687,2288731.906457,663144.681343,2288760.215193,663130.686015,2288746.060825
238,"","IBIZA",19.022546,663189.299839,2288654.997017,663204.375039,2288643.395481,663196.837439,2288649.196249
