Mercados y Plazas Comerciales,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Nombre,Ubicación,Tipo,Descripción Tipo,Clase,Descripción Clase
81,Colinas de Atemajac,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
82,Colinas de las Águilas,6,- Inexistente -,,99,NINGUNO,99,NINGUNO
83,Colinas de la Primavera,7,Inexistente,,99,NINGUNO,99,NINGUNO
85,Colinas de los Robles,3,- Inexistente -,,99,NINGUNO,99,NINGUNO
86,Colinas de San Javier,5B,-Inexistente-,,99,NINGUNO,99,NINGUNO
87,Colinas de Tabachines,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
90,Colinas del Río Blanco,3,- Inexistente -,,99,NINGUNO,99,NINGUNO
93,Colli Primavera,7,- Inexistente -,,99,NINGUNO,99,NINGUNO
95,Colli Poblado (ó Colli Ejidal),6,- Inexistente -,,99,NINGUNO,99,NINGUNO
96,Colli Sitio,5A,Inexistente,,99,NINGUNO,99,NINGUNO
97,Colli Urbano ,6,Solidario Los Volcanes,Volcán Popocateoetl Nº 1996,1,Mercado,1,Público
97,Colli Urbano ,6,Mercado Mariano Otero,"Av. Mariano Otero Nº 5120, Administrador Luís López Bonilla",1,Mercado,2,Privado
97,Colli Urbano ,6,Plaza María Isabel,"Patria, esq. Felipe Ruvalcaba",3,Plaza Comercial,2,Privado
97,Colli Urbano ,6,Plaza El Colli,"Patria, esq. Av. El Colli",3,Plaza Comercial,2,Privado
103,Conjunto Laureles,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
104,Conjunto Patria Residencial,1B,Plaza Presidentes,"Av. Manuel Ávila Camacho Nº 3340, Administrador Norberto López Rodríguez",2,Centro Comercial,2,Privado
104,Conjunto Patria Residencial,1B,Plaza Comercial ,Av. Avila Camacho y Bandera Nacional,3,Plaza Comercial,,Desconocido
104,Conjunto Patria Residencial,1B,Plaza Jacarandas ,Av. Avila Camacho,3,Plaza Comercial,,Desconocido
105,Conjunto Ritz,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
106,Conjunto San Gilberto,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
107,Conjunto Zapopan,1B,Inexistente,,99,NINGUNO,99,NINGUNO
108,Constitución,1B,Costitución,Av. Constituyentes Nº 2796,1,Mercado,1,Público
109,Constituyentes,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
112,"Coronilla, La",2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
113,Coronilla del Ocote,RS,- Inexistente -,,99,NINGUNO,99,NINGUNO
115,División Del Norte,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
117,Don Bosco Vallarta,5A,La Gran Plaza Fashion Mall,"Av, Vallarta Nº 3959, 35632900/31223004/35634083-88,  Administrador Rodrigo Leyva Villegas.",3,Plaza Comercial,2,Privado
118,Ecológica Seattle,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
120,Ejido Zapopan,?,-Inexistente-,,99,NINGUNO,99,NINGUNO
121,Emiliano Zapata,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
122,"Estancia, La",5A,Plaza Santa Marìa,Rafael Sanzio esq. Franz Schabert ,2,Centro Comercial,2,Privado
122,"Estancia, La",5A,Plaza Las Rosas,Shubert Franz Nº 5007,3,Plaza Comercial,2,Privado
124,Eucalipto Vallarta,5A,- Inexistente -,,99,NINGUNO,99,NINGUNO
125,Exitmex,5A,Plaza Cibeles,Av. Guadalupe,3,Plaza Comercial,2,Privado
125,Exitmex,5A,Guadalupe Inn,Guadalupe y Periférico,3,Plaza Comercial,2,Privado
125,Exitmex,5A,Madison Plaza,Av. Guadalupe,3,Plaza Comercial,2,Privado
125,Exitmex,5A,Santa Alicia,Av. Guadalupe,3,Plaza Comercial,2,Privado
125,Exitmex,5A,Los Arcos,Av. Guadalupe,3,Plaza Comercial,2,Privado
126,Exhacienda del Lazo,RN,- Inexistente -,,99,NINGUNO,99,NINGUNO
127,"Experiencia, la",2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
128,"Flores, Las",5A,- Inexistente -,,99,NINGUNO,99,NINGUNO
129,"Floresta del Colli, La",7,- Inexistente -,,99,NINGUNO,99,NINGUNO
130,"Florida, La",8,- Inexistente -,,99,NINGUNO,99,NINGUNO
133,"Bosques del Centinela, Fraccionamiento",2A,- Inexistente -,,99,NINGUNO,99,NINGUNO
134,"Cristal, Fraccionamiento",8,Inexistente,,99,NINGUNO,99,NINGUNO
136,"Los Paraísos, Fraccionamiento",1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
137,Francisco Sarabia,8,Francisco Sarabia,José López Portillo Nº. 23,1,Mercado,1,Público
140,"Fresno, El",4,- Inexistente -,,99,NINGUNO,99,NINGUNO
141,"Fuentes, Las",6,Las Fuentes,La Calma Nº 44,1,Mercado,1,Público
143,"Giralda, la",6,Plaza Millenium,López Mateos y Lapizlazuli,3,Plaza Comercial,2,Privado
146,"Gloria, La",5A,- Inexistente -,,99,NINGUNO,99,NINGUNO
147,González Ortega,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
148,"Grana, La",3,- Inexistente -,,99,NINGUNO,99,NINGUNO
149,Guadalajarita (ó Club Atlas),1A,Inexistente,,99,NINGUNO,99,NINGUNO
150,Guadalupe Jardín,5A,- Inexistente -,,99,NINGUNO,99,NINGUNO
151,"Guayabos, Comunidad Ecológica, Los",2A,- Inexistente -,,99,NINGUNO,99,NINGUNO
152,Gusa,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
153,Haciendas de las Lomas,5B,- Inexistente -,,99,NINGUNO,99,NINGUNO
154,Hacienda de Tepeyac I,6,- Inexistente -,,99,NINGUNO,99,NINGUNO
155,Hacienda de Tepeyac II,6,- Inexistente -,,99,NINGUNO,99,NINGUNO
159,"Haciendita, La",8,- Inexistente -,,99,NINGUNO,99,NINGUNO
160,Heroes Nacionales,4,- Inexistente -,,99,NINGUNO,99,NINGUNO
161,"Higuera, La",2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
162,Hogares de Atemajac,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
163,Hogares,2B,- Inexistente -,,99,NINGUNO,99,NINGUNO
165,Hogares del Batán,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
167,Huaxtla,RN,- Inexistente -,,99,NINGUNO,99,NINGUNO
168,"Huerta, La",1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
169,"Húmedo de Nextipac, El",RS,- Inexistente -,,99,NINGUNO,99,NINGUNO
170,Indígena de Mezquitán ,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
171,Indígena de San Juan Ocotán,4,- Inexistente -,,99,NINGUNO,99,NINGUNO
172,Industrial Los Belenes,1B,Plaza San Isidro,"Anillo Periférico Norte Nº 221, administrador Héctor González Raygoza",3,Plaza Comercial,2,Privado
175,Ixcatán Poblado,RN,- Inexistente -,,99,NINGUNO,99,NINGUNO
176,Jacarandas,1A,Plaza Patria,"Av. Manuel Ávila Camacho Nº 1950, Tel. 36413566,13, Administrador Nicolás Gómez García",3,Plaza Comercial,1,Público
178,Jardines de San Ignacio,5A,Plaza San Ignacio,San Ignacio Nº 93,3,Plaza Comercial,2,Privado
178,Jardines de San Ignacio,5A,Plaza la Glorieta,Av. Guadalupe N°1162,3,Plaza Comercial,2,Privado
178,Jardines de San Ignacio,5A,Plaza Comercial Chapalita,Av. San Ignacio N° 3688 esq. Guadalupe,3,Plaza Comercial,2,Privado
