Bibliotecas,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Biblioteca,Domicilio,Teléfono
112,"Coronilla, La",2B,-Inexistente-,,
113,Coronilla del Ocote,RS,-Inexistente-,,
114,"Cueva, La",RS,-Inexistente-,,
115,División Del Norte,2A,-Inexistente-,,
116,DIF,1A,-Inexistente-,,
117,Don Bosco Vallarta,5A,-Inexistente-,,
118,Ecológica Seattle,1B,-Inexistente-,,
119,Ejido Copalita,RN,-Inexistente-,,
120,Ejido Zapopan,?,-Inexistente-,,
121,Emiliano Zapata,2A,-Inexistente-,,
122,"Estancia, La",5A,-Inexistente-,,
123,"Estrada, La",RS,-Inexistente-,,
124,Eucalipto Vallarta,5A,-Inexistente-,,
125,Exitmex,5A,-Inexistente-,,
126,Exhacienda del Lazo,RN,-Inexistente-,,
127,"Experiencia, la",2B,-Inexistente-,,
128,"Flores, Las",5A,-Inexistente-,,
129,"Floresta del Colli, La",7,-Inexistente-,,
130,"Florida, La",8,-Inexistente-,,
131,Fortín ,7,-Inexistente-,,
132,"Fortines, Los",7,-Inexistente-,,
133,"Bosques del Centinela, Fraccionamiento",2A,-Inexistente-,,
134,"Cristal, Fraccionamiento",8,Inexistente,,
134,"Cristal, Fraccionamiento",8,-Inexistente-,,
136,"Los Paraísos, Fraccionamiento",1B,"No. 8581 ""Archivo Municipal""",Dr. Luis Farah # 1080 ( Horario de Lunes a viernes de 9:00 a 20:00 hrs.),
137,Francisco Sarabia,8,-Inexistente-,,
138,Francisco Sarabia Poniente,8,-Inexistente-,,
139,Francisco Villa (antes villa de Torremolinos),3,-Inexistente-,,
140,"Fresno, El",4,-Inexistente-,,
141,"Fuentes, Las",6,-Inexistente-,,
142,"Garabato, El",8,-Inexistente-,,
143,"Giralda, la",6,-Inexistente-,,
144,Girasoles,4,-Inexistente-,,
145,Girasoles Elite,4,-Inexistente-,,
146,"Gloria, La",5A,-Inexistente-,,
147,González Ortega,1B,-Inexistente-,,
148,"Grana, La",3,-Inexistente-,,
149,Guadalajarita (ó Club Atlas),1A,-Inexistente-,,
150,Guadalupe Jardín,5A,-Inexistente-,,
151,"Guayabos, Comunidad Ecológica, Los",2A,-Inexistente-,,
152,Gusa,1B,-Inexistente-,,
153,Haciendas de las Lomas,5B,-Inexistente-,,
154,Hacienda de Tepeyac I,6,-Inexistente-,,
155,Hacienda de Tepeyac II,6,-Inexistente-,,
156,Hacienda la Mora,4,-Inexistente-,,
157,Hacienda del Valle,3,-Inexistente-,,
158,Haciendas de la Calma,6,-Inexistente-,,
159,"Haciendita, La",8,-Inexistente-,,
160,Heroes Nacionales,4,-Inexistente-,,
161,"Higuera, La",2B,-Inexistente-,,
162,Hogares de Atemajac,2A,-Inexistente-,,
163,Hogares,2B,-Inexistente-,,
164,Hogares de Nuevo México,3,-Inexistente-,,
165,Hogares del Batán,1B,-Inexistente-,,
166,Hoja Verde,1B,-Inexistente-,,
167,Huaxtla,RN,-Inexistente-,,
168,"Huerta, La",1B,-Inexistente-,,
169,"Húmedo de Nextipac, El",RS,-Inexistente-,,
170,Indígena de Mezquitán ,2B,-Inexistente-,,
171,Indígena de San Juan Ocotán,4,-Inexistente-,,
