DELITOS PATRIMONIALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBO DE VEHÍCULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,164,158,200,165,178,169,,"2,240",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL 2001-2003,,,207,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,13,21,19,31,18,17,,248,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,14,24,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,14,23,25,29,49,32,,449,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,41,40,40,54,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL ,,,,,,,,,,,,,,,,,,,,,,,,,
,49,39,51,31,68,38,,544,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,42,37,53,70,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL 2004-2006,,,1241,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL ,,,,,,,,,,,,,,,,,,,,,,,,,
,19,46,43,37,45,38,,438,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,27,37,44,36,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL ,,,,,,,,,,,,,,,,,,,,,,,,,
,22,19,20,18,33,22,,294,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,37,27,29,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL ,,,,,,,,,,,,,,,,,,,,,,,,,
,25,24,29,29,37,12,,364,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,46,41,47,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICULOS RECUPERADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,62,62,68,57,52,55,,668,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,55,67,40,56,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,39,45,50,55,45,49,,613,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,65,61,66,41,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,53,33,45,33,48,49,,551,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,52,57,44,52,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
