DELITOS PATRIMONIALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBO DE VEHÍCULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,164,158,200,165,178,169,,"2,240",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,75,48,57,49,41,30,,721,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,71,66,68,69,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,75,65,61,48,73,70,,806,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,67,73,70,69,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL 2001-2003,,,2170,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,34,32,35,32,38,32,,408,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,31,31,36,35,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL ,,,,,,,,,,,,,,,,,,,,,,,,,
,29,30,30,22,22,23,,306,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,41,28,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL ,,,,,,,,,,,,,,,,,,,,,,,,,
,30,49,52,32,36,26,,386,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,20,21,33,36,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL 2004-2006,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL ,,,,,,,,,,,,,,,,,,,,,,,,,
,36,59,45,40,44,36,,412,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,27,22,27,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL ,,,,,,,,,,,,,,,,,,,,,,,,,
,35,20,13,20,31,13,,235,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,22,18,5,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL ,,,,,,,,,,,,,,,,,,,,,,,,,
,15,24,35,24,17,23,,285,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,25,29,27,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBO A NEGOCIO DE AUTOSERVICIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL ,,,,,,,,,,,,,,,,,,,,,,,,,
,32,26,41,24,27,27,,327,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,24,25,24,32,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,32,36,28,21,19,26,,312,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,26,32,27,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,23,32,25,33,35,26,,315,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,21,31,25,17,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL 2004-2006,,,954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,19,33,32,33,25,25,,373,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,37,29,41,26,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,23,27,24,23,21,28,,299,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,27,18,31,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,27,29,40,33,31,41,,380,,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,23,38,31,32,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
