Infraestructura Deportiva,,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Espacio Deportivo,Administrado por,Domicilio,Tipo,Descripción Tipo,Clase,Descripción Clase
270,Parque Regency,5B,Inexistente,,,99,NINGUNO,99,NINGUNO
271,Parques de Tesistán,RS,Unidad Tesistán,Comude,Fray Miguel Pieras y San Mateo,1,Unidad Deportiva,1,Público
271,Parques de Tesistán,RS,Presbítero Salvador Sánchez Sánchez,Patronato,"Puente Chico No. 630, junto al Cecytej",1,Unidad Deportiva,1,Público
272,Parques de Zapopan,4,-inexistente-,,,99,NINGUNO,99,NINGUNO
273,Parques del Auditorio,2A,Cancha de Futbol,,González Gallo y Federalismo ,2,Cancha Individual,1,Público
273,Parques del Auditorio,2A,Cancha de Basquet bol,Consejo,"Plan de Ayala Nº 1789 y 1819, entre los andadores",2,Cancha Individual,1,Público
274,Paseos del Briseño,8,Unidad Deportiva,Consejo,"Paseo de la Familia frente al 143, entre Paseos de la Senectud y Lim. Der. de linea de alta tensión",1,Unidad Deportiva,1,Público
274,Paseos del Briseño,8,Canchas,,"Unidad deportiva, Paseo de la familia",2,Cancha Individual,1,Público
275,Paseos del Sol ,6,"Módulo Deportivo ""Paseos del Sol""",Consejo,"Tomás Balcazár Nº 5665, esq. Jesús Sánchez Carillon 2da. sección",1,Unidad Deportiva,1,Público
275,Paseos del Sol ,6,"Cancha Deportiva ""Parque Infantil""",Consejo,"Antonio Palafox frente al Nº 1329 y Gustavo peña, 2da. sección",2,Cancha Individual,1,Público
277,Paso de Guadalupe (ó El Morado),RN,Inexistente,,,99,NINGUNO,99,NINGUNO
282,Pedregal de Zapopan,2B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
283,Pedro Moreno,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
285,Pinar de la Calma,6,Cancha de Basquet ball,,Av. del Pinar y Yagul,2,Cancha Individual,1,Público
285,Pinar de la Calma,6,Cancha de Voleibol,,Av. Pinar y Yagul,2,Cancha Individual,1,Público
287,"Pinos Campestre, Los",8,Inexistente,,,99,NINGUNO,99,NINGUNO
289,Pirámides,6,- Inexistente -,,,99,NINGUNO,99,NINGUNO
291,Praderas de San Antonio,4,- Inexistente -,,,99,NINGUNO,99,NINGUNO
293,Prados de Santa Lucia ,RS,Campo de Fútbol,,Guillermo Prieto y Libertad,2,Cancha Individual,1,Público
295,Prados Tepeyac,6,"Gimnacio ""Gold´s G y M",,Prados Laureles y Xochitl,99,NINGUNO,2,Privado
297,"Primavera, La",RS,Club Deportivo de la Universidad de Guadalajara,U de G,Km. 24 Carretera Nogales vía libre; tel. 31514080/31514081; de lunes a domingo las 24 hrs.,1,Unidad Deportiva,2,Privado
297,"Primavera, La",RS,Cancha de fútbol,Consejo,Pedro Moreno esq. Enrique Faudón,2,Cancha Individual,1,Público
298,Primavera Norte,6,Cancha futbol rapido,,Playa Bonita y Playa Verde,2,Cancha Individual,1,Público
298,Primavera Norte,6,- Inexistente -,,,99,NINGUNO,99,NINGUNO
301,Puerta del Sol,5B,Parque Virreyes  (Pista de Atletismo),Asociación Civil,"Av. Paseo de los Virreyes N° 555, ",2,Cancha Individual,1,Público
302,Rancho Contento,RS,"Canchas de Tenis, Fútbol, Basquet, Campo de Golf 9 hoyos, Alberca, Gimnasio, ",Vecinos,Rancho Contento,3,Club Deportivo,2,Privado
303,Rancho El Centinela,3,Inexistente,,,99,NINGUNO,99,NINGUNO
304,Rancho el Sol (ó Placita del Sol),3,- Inexistente -,,,99,NINGUNO,99,NINGUNO
309,"Rehilete, El",7,Inexistente,,,99,NINGUNO,99,NINGUNO
310,Residencial Arboledas,6,Inexistente,,,99,NINGUNO,99,NINGUNO
312,Residencial Cordilleras,5A,Unidad Deportiva,COMUDE,Esquina de las calles Hector Berlioz y Geroge F. Handel,1,Unidad Deportiva,1,Público
314,Residencial del Bosque,8,Inexistente,,,99,NINGUNO,99,NINGUNO
315,Residencial Guadalupe,5A,Inexistente,,,99,NINGUNO,99,NINGUNO
318,Residencial Moctezuma,6,Cancha,Consejo,"José María, Severo Díaz y Playa Blanca",2,Cancha Individual,1,Público
319,Residencial Moctezuma Poniente,6,Parque Moctezuma Poniente,Pública,"Playa de Santiago, entre Volcán Tancítaro y Av. Paseo de los Volcanes",2,Cancha Individual,1,Público
322,Residencial Plaza Guadalupe,5A,Cancha,Comude,"Entre las calles Misión de San Antonio, Misión San Patricio y Misi{on San Fernando.",2,Cancha Individual,1,Público
322,Residencial Plaza Guadalupe,5A,Canchas deportivas,Comude,Av. Hidalgo y Moctezuma,2,Cancha Individual,1,Público
324,Residencial Victoria,6,Inexistente,,,99,NINGUNO,99,NINGUNO
325,Rinconada del Auditorio,2A,Unidad Deportiva (cancha de futbol y basquet bol),COMUDE,Pról. Federalismo ,1,Unidad Deportiva,,Desconocido
325,Rinconada del Auditorio,2A,Cancha de Futbol,,González Gallo y Margarita Maza de Juarez ,2,Cancha Individual,1,Público
327,Rinconada Del Iris,8,Inexistente,,,99,NINGUNO,99,NINGUNO
329,Rinconada del Sol,6,Inexistente,,,99,NINGUNO,99,NINGUNO
330,Rinconada La Azalea,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
331,Rinconada del Valle,5A,Inexistente,,,99,NINGUNO,99,NINGUNO
332,Rinconada de la Calma,6,inexistente,,,99,NINGUNO,99,NINGUNO
333,Rinconada de la Joya,6,Canchas de Tenis,Local,Rinconada la Joya,2,Cancha Individual,2,Privado
335,Rinconada de Santa Rita,5B,Unidad Santa Rita,Colonos,Rinconada de la Camelia No 3800,1,Unidad Deportiva,2,Privado
337,Río Blanco,RN,Cancha de futbol,,Calle Morelos,2,Cancha Individual,1,Público
338,Roberto Orozco,RS,- Inexistente -,,,99,NINGUNO,99,NINGUNO
339,"Robles, Los",3,Unidad Deportiva Campestre los Robles,COMUDE,"Calle 8, frente al 480",1,Unidad Deportiva,1,Público
339,"Robles, Los",3,Cancha de voleibol,Coto,"Calle 8 y Cerrada, Coto Santa Luza",2,Cancha Individual,2,Privado
339,"Robles, Los",3,Cancha de basquetbol,,Calle 8 y Cerrrada (Coto Santa Luza),2,Cancha Individual,2,Privado
339,"Robles, Los",3,Cancha de futbol,,Av. Los Robles y Calle 3,2,Cancha Individual,1,Público
340,"Rodeo, El",RS,Inexistente,,,99,NINGUNO,99,NINGUNO
341,Royal Country,5B,Cancha de Tenis,Condominio,"La Colina Coto N° 5395, Casa Club",2,Cancha Individual,2,Privado
341,Royal Country,5B,Cancha de Tenis,Condominio,La Campiña (casa club),2,Cancha Individual,2,Privado
341,Royal Country,5B,Cancha Tenis,Condominio,Pradera (casa club),2,Cancha Individual,2,Privado
341,Royal Country,5B,cancha de Tenis,Condominio,La Loma,2,Cancha Individual,2,Privado
341,Royal Country,5B,Cancha de Tenis,Condominios,Alameda (casa club9,2,Cancha Individual,2,Privado
342,San Bernardo,5B,Inexistente,,,99,NINGUNO,99,NINGUNO
343,San Esteban,RN,Cancha de Futbol,,La Tarjea,2,Cancha Individual,1,Público
346,San Isidro Poblado,RN,Inexistente,,,99,NINGUNO,99,NINGUNO
349,San Juan de Ocotán,4,Unidad Deportiva,Consejo,,1,Unidad Deportiva,1,Público
349,San Juan de Ocotán,4,Cancha de fut bol,,Libertad frente al grupo AA,2,Cancha Individual,1,Público
349,San Juan de Ocotán,4,Cancha,Consejo,Hidalgo casi esquina Ocampo,2,Cancha Individual,1,Público
349,San Juan de Ocotán,4,"Cancha Deportiva ""Aviación""",Consejo,"Av. Aviación Nº 250, esquina 5 de mayo",2,Cancha Individual,1,Público
350,San Lorenzo,RN,"La peña ""Voladero"" o ""Cuajo""",,Es utilizada por escaladores ,,Desconocido,1,Público
350,San Lorenzo,RN,Cancha multiusos,,Galeana,1,Unidad Deportiva,1,Público
353,San Miguel Tateposco,RN,Cancha de Fub-ball San Miguel Tateposco,Asociacion Vecinal,Calle Remudadero S/N y Juan Vera,2,Cancha Individual,1,Público
354,San Nicolás de los Belenes,2A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
357,Santa Catalina,6,Inexistente,,,99,NINGUNO,99,NINGUNO
358,Santa Fé,1A,Area Recreativa con Cancha Basquetball y Juegos Infantiles,Propiedad del Gobierno del estado,Avila Camacho y Av. Patria,2,Cancha Individual,,Desconocido
358,Santa Fé,1A,"Cancha Deportiva ""El Polvorin""",Consejo,,2,Cancha Individual,1,Público
360,Santa Lucía,RS,Campo de Fútbol Santa Lucía,Vecinos,"Niños Héroes S/N, Cerrada",2,Cancha Individual,1,Público
360,Santa Lucía,RS,Lienzo Charro Santa Lucía,,"Emiliano Zapata, casi esq. Corregidora",3,Club Deportivo,2,Privado
361,Santa Margarita 1ra. Sección,1A,Unidad Deportiva,Consejo,Santa Clara y Santa Laura,1,Unidad Deportiva,1,Público
363,Santa Margarita Residencial,4,Unidad Deportiva,COMUDE,Marina Mazamitla y Diagonal Sta. Fe,1,Unidad Deportiva,1,Público
364,Santa Maria del Pueblito,5A,Unidad Deportiva,Consejo,Independencia esquina Morelos,1,Unidad Deportiva,1,Público
364,Santa Maria del Pueblito,5A,Cancha de Basquetbol,,Guadalupe Victoria y 16 de septiembre,2,Cancha Individual,1,Público
365,Santa Mónica de los Chorritos,RS,- Inexistente -,,,99,NINGUNO,99,NINGUNO
366,Santa Paula,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
367,Seattle,1B,"Club de Tenis "" Gdl Country Seattle A.C."" ",,Calle D y San Jorge,3,Club Deportivo,2,Privado
368,Seattle  Habitacional ,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
369,"Soledad de Nextipac, La",RS,- Inexistente -,,,99,NINGUNO,99,NINGUNO
370,Tabachines,2A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
372,Tepeyac Casino,5A,Cancha,Consejo,Av. Tepeyac y Av. Nacionalidad,2,Cancha Individual,1,Público
373,Tesistán,RS,-Inexistente-,,,99,NINGUNO,99,NINGUNO
374,"Tigre I, El",3,- Inexistente -,,,99,NINGUNO,99,NINGUNO
376,"Triángulo, El",4,- Inexistente -,,,99,NINGUNO,99,NINGUNO
377,"Tuzanía , La",4,Unidad Deportiva,Comude,Periférico Nte. Manuel Goméz Morín y Zarzamora,1,Unidad Deportiva,1,Público
377,"Tuzanía , La",4,Cancha de basquet Bol ,,Fresas y Bellotas,2,Cancha Individual,1,Público
378,Tuzanía Ejidal,4,Inexistente,,,99,NINGUNO,99,NINGUNO
379,Unidad Auditorio,2A,Cancha,Consejo,Waterpolo frente al Nº 687 esquina Periférico,2,Cancha Individual,1,Público
381,Unidad Gustavo Díaz Ordaz,6,Cancha,Vecinos,"Calle Tlatelolco, entre Andador Tlatelolco y Cancún",2,Cancha Individual,1,Público
382,Unidad Fovissste (Estatuto Jurídico).,1A,Cancha,COMUDE,Manzana 4,2,Cancha Individual,1,Público
384,Unidad Patria,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
385,Unidad República,1A,Unidad Deportiva,Consejo,,1,Unidad Deportiva,1,Público
388,Valle de Atemajac,2A,Inexistente,,,99,NINGUNO,99,NINGUNO
389,Valle de Bugambilias,8,Inexistente,,,99,NINGUNO,99,NINGUNO
392,Valle Escondido,4,Inexistente,,,99,NINGUNO,99,NINGUNO
394,Venta del Astillero,RS,Cancha de futbol,,La Primavera y Lazaro Cardenas,,Desconocido,,Desconocido
394,Venta del Astillero,RS,"Club Cinegético Jalisciense, A. C.",,Km. 17.5 Carretera a Nogales; tel. 31510605/31510001; de martes a domingo de 09:00 a 18:00 hrs.,1,Unidad Deportiva,2,Privado
394,Venta del Astillero,RS,Rancho Contento Golf Course,,"Km. 15, Carretera a Nogales; Tel. 36821154/36821026",1,Unidad Deportiva,2,Privado
394,Venta del Astillero,RS,Cancha de futbol,Delegación,Camino a Nextipac frente al 125 esquina Petronilo Orozco,2,Cancha Individual,1,Público
394,Venta del Astillero,RS,Cancha de Futbol,,Tesistan y Agustín Yañez,2,Cancha Individual,1,Público
394,Venta del Astillero,RS,Cancha de Basquetbol,Comude,Juan Gil Preciado esquina Lázaro Cárdenas,2,Cancha Individual,1,Público
395,Venustiano Carranza,1B,Cancha de Fut-Bol,Colonos ,Manuel Anaya y A. Rosales,2,Cancha Individual,1,Público
396,"Vicente Guerrero (ampliación Vicente Guerrero, Rincón)",3,Inexistente,,,99,NINGUNO,99,NINGUNO
398,Víctor Hugo,1B,Cancha,Consejo,Victor Hugo esquina Arbolito (junto a la escuela),2,Cancha Individual,1,Público
399,"Vigía, El",1B,Unidad Deportiva,Consejo,,1,Unidad Deportiva,1,Público
401,Villa Coral,1A,Club Deportivo,,Dentro de la Colonia,3,Club Deportivo,2,Privado
402,Villa de los Belenes,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
404,Villa Puerta del Sol,6,,,,99,NINGUNO,99,NINGUNO
407,Villas Alcalde,1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
408,Villas de Guadalupe,2B,"Módulo Deportivo ""Comunidad Indigena de Mezquitán""",Consejo,Febronio Lara No. 2880 entre Ma. Perfecta Llamas esquina ,1,Unidad Deportiva,1,Público
408,Villas de Guadalupe,2B,Villa Sport,Particular,Casiano Torres e Hipólito Hernández.,1,Unidad Deportiva,2,Privado
408,Villas de Guadalupe,2B,Módulo Deportivo Municipal ,,María Perfecta Llamas esquina Febronio Lara ,1,Unidad Deportiva,,Desconocido
408,Villas de Guadalupe,2B,Cancha,,"Centro de Bienestar del IMSS Solidaridad, en Pío V Enríquez 156 ",2,Cancha Individual,1,Público
409,Villas del Marquez (Villas del Parque),2A,-Inexistente-,,,99,NINGUNO,99,NINGUNO
411,Villas La Loma,3,Cancha multiusos,,Camellón de Avenida de las Calandrias,2,Cancha Individual,1,Público
411,Villas La Loma,3,Cancha de futbol,,Camellón de Av. de las Calandrias,2,Cancha Individual,1,Público
411,Villas La Loma,3,Cancha de Mini Futbol,,Camellón de Av. de las Calandrias,2,Cancha Individual,1,Público
411,Villas La Loma,3,Lienzo Charro Zapopan,,Av. de las Calandrias y Orquídea,3,Club Deportivo,2,Privado
414,Villas de Tepeyac,6,- Inexistente -,,,99,NINGUNO,99,NINGUNO
416,Villas Vallarta,5A,Unidad Jocotán,Comude,Manuel M. Dieguez y Novelistas,1,Unidad Deportiva,1,Público
418,Vista Hermosa,2B,,,,,Desconocido,,Desconocido
418,Vista Hermosa,2B,Juegos infantiles,,"Puesta del sol, en CDC",,Desconocido,,Desconocido
419,Vista del Sol,8,Área Común Cancha de Tenis,,circuito Vista del Sol,2,Cancha Individual,2,Privado
420,Volcán del Colli,5A,Inexistente,,,99,NINGUNO,99,NINGUNO
421,"Zapote, El   ",6,"Unidad Deportiva ""El Zapote!""",COMUDE,Chimalpopoca y Apatzingar,1,Unidad Deportiva,1,Público
422,Zoquipan,1B,COMUDE,,Laguna de Términos y Lago Tequesquitengo,1,Unidad Deportiva,1,Público
423,Hospital San Juan de Dios,1B,"Canchas (Fútbol, baloncesto y voleibol)",Orden religiosa San Juan de Dios,Av. Laureles No. 55,2,Cancha Individual,2,Privado
426,"Noria, La",,- Inexistente -,,,99,NINGUNO,99,NINGUNO
427,Quinta Federalismo,,- Inexistente -,,,99,NINGUNO,99,NINGUNO
428,"Tempisque, El",,Campo de Fútbol del Tempisque,Gente del Rancho,Conocido,2,Cancha Individual,1,Público
429,Mesón de Copala,,- Inexistente -,,,99,NINGUNO,99,NINGUNO
430,Villas de Nuevo México,,- Inexistente -,,,99,NINGUNO,99,NINGUNO
431,"Soledad de Ixcatán, La",,Cancha de básquetbol,,Conocido,2,Cancha Individual,1,Público
432,Jardines de San Gonzalo,,- Inexistente -,,,99,NINGUNO,99,NINGUNO
434,Fuentecillas,,- Inexistente -,,,99,NINGUNO,99,NINGUNO
435,"Golondrinas, Las",,- Inexistente -,,,99,NINGUNO,99,NINGUNO
436,Villas de Tesistán,RS,Cancha de básquetbol,,Circuito de las Flores Sur y Circuito de las Mimosas,2,Cancha Individual,1,Público
437,Lomas de San Gonzalo,0,Cancha de Basquetbol,,Condominio San Clemente y San Miguel Oriente,2,Cancha Individual,1,Público
438,Campestre Lomas de Tesistán,,-Inexistente-,,,99,NINGUNO,99,NINGUNO
439,"Joyitas, Las",,Inexistente,,,99,NINGUNO,99,NINGUNO
440,Vistas de Tesistán,,Mini Cancha de Fútbol,Vecinos,Paseo del Granado 121,2,Cancha Individual,1,Público
441,Praderas de Tesistán,,Inexistente,,,99,NINGUNO,99,NINGUNO
442,Hacienda Las Palomas,,Inexistente,,,99,NINGUNO,99,NINGUNO
443,Ampliación Santa Lucía,RS,Cancha de Fútbol,Se desconoce,Camino a la Sierra y San Antonio,2,Cancha Individual,1,Público
443,Ampliación Santa Lucía,RS,Cancha de Fútbol,Se desconoce,Juan de la Barrera y López Mateos,2,Cancha Individual,1,Público
446,Revolución,RS,-Inexistente-,,,99,NINGUNO,99,NINGUNO
447,"Mirasoles, Los",,-Inexistente-,,,99,NINGUNO,99,NINGUNO
448,"Providencia, La",,-Inexistente-,,,99,NINGUNO,99,NINGUNO
449,Villas de Santa Lucía,RS,- Inexistente -,,,99,NINGUNO,99,NINGUNO
450,"Cerrito, El (de Nextipac)",RS,- Inexistente -,,,99,NINGUNO,99,NINGUNO
451,Cerca Morada,RS,Inexistente,,,99,NINGUNO,99,NINGUNO
452,Misión La Floresta,,Cancha de basquetball.,Condominio,Guardia Nacional y Bambú,2,Cancha Individual,1,Público
453,Rinconada del Parque,,- Inexistente -,,,99,NINGUNO,99,NINGUNO
454,Colinas del Río,3,- Inexistente -,,,99,NINGUNO,99,NINGUNO
455,Villa Hermosa,RS,- Inexistente -,,,99,NINGUNO,99,NINGUNO
456,"Ángeles de Nextipac, Los",RS,Cancha de fútbol,,Entre Magnolia y Lluvia de oro,2,Cancha Individual,1,Público
457,San Rafael (poblado),RN,Cancha de basquetbol,,San Rafael y San Francisco,2,Cancha Individual,1,Público
458,"Cohetero, El (poblado)",,- Inexistente -,,,99,NINGUNO,99,NINGUNO
459,"Quemado, El (poblado)",RN,- Inexistente -,,,99,NINGUNO,99,NINGUNO
460,Villas del Valle,3,Pista de carreras,,Valle de Atotonilco y Valle de Atemajac,2,Cancha Individual,1,Público
460,Villas del Valle,3,Cancha de basquetbol,,Valle de Atotonilco y Valle de Atemajac,2,Cancha Individual,1,Público
461,Campo Real,3,Cancha de basquetbol,,Av. Paraiso Poniente,,Desconocido,2,Privado
462,Bosque Valdepeñas,3,- Inexistente -,,,99,NINGUNO,99,NINGUNO
463,Hacienda del Sol,3,- Inexistente -,,,99,NINGUNO,99,NINGUNO
464,Valdepeñas II,3,- Inexistente -,,,99,NINGUNO,99,NINGUNO
465,Punta Valdepeñas,3,- Inexistente -,,,99,NINGUNO,99,NINGUNO
466,Real Valdepeñas,3,- Inexistente -,,,99,NINGUNO,99,NINGUNO
467,Real de Tesistán,,- Inexistente -,,,99,NINGUNO,99,NINGUNO
468,Altus Quintas,0,- Inexistente -,,,99,NINGUNO,99,NINGUNO
469,Colonos de Tesistán,,Cancha de fútbol,,Duraznos,2,Cancha Individual,2,Privado
470,Real Casablanca,,Cancha multiusos,,Casa Blanca 65,2,Cancha Individual,1,Público
471,Jardines de las Fuentes,45200,- Inexistente -,,,99,NINGUNO,99,NINGUNO
472,Molinos,,Cancha de Basquet,,Molino de agua y Linasa,,Desconocido,1,Público
473,Extramuro,,- Inexistente -,,,99,NINGUNO,99,NINGUNO
474,Parques Tepeyac,0,Unidad deportiva,Colonos,Periférico y calle Benito Júarez,1,Unidad Deportiva,2,Privado
475,Quinta del bosque,,Inexistente,,,99,NINGUNO,99,NINGUNO
476,Crucero de Ameca,Zona Rural,Inexistente,,,99,NINGUNO,99,NINGUNO
477,Miramar Poniente,,Inexistente,,,99,NINGUNO,99,NINGUNO
478,"Fortín II, El",7,Inexistente,,,99,NINGUNO,99,NINGUNO
479,Villas del Ixtépete,8,Cancha de Básquetbol,,Villas Aztlán s/n,2,Cancha Individual,1,Público
480,Nuevo México Sur,4,Inexistente,,,99,NINGUNO,99,NINGUNO
481,Anexo a Jardines del Vergel,2A,Inexistente,,,99,NINGUNO,99,NINGUNO
482,Lomas Campestres Las Mesitas,RS,Cancha de Basquetbol,,Paseo de los Laureles,2,Cancha Individual,1,Público
484,Residencial del Parque Metropolitano,5A,Inexistente,,,99,NINGUNO,99,NINGUNO
485,Lomas del Pedregal,RN,Inexistente,,,99,NINGUNO,99,NINGUNO
485,Lomas del Pedregal,RN,Inexistente,,,99,NINGUNO,99,NINGUNO
487,Granjas y Huertos San José,,Inexistente,,,99,NINGUNO,99,NINGUNO
488,Villas de Monticello,,Inexistente,,,99,NINGUNO,99,NINGUNO
489,"Pedregal (de Milpillas), El",,Inexistente,,,99,NINGUNO,99,NINGUNO
490,"Taray, El",,Inexistente,,,99,NINGUNO,99,NINGUNO
491,Cabañas de la Barranca,,Inexistente,,,99,NINGUNO,99,NINGUNO
492,Kilómetro 10 (carr. a Colotlán),,Huracán F.C.  (Futbol),Privado,Domicilio Conocido,2,Cancha Individual,2,Privado
493,Prados de Nextipac,,Inexistente,,,99,NINGUNO,99,NINGUNO
494,"Soledad de afuera, La",,Campo de futbol ,,Calle Paraíso y la Aurora,2,Cancha Individual,2,Privado
495,Canteras del Centinela,,Inexistente,,,99,NINGUNO,99,NINGUNO
496,Parques del Centinela Residencial,,Cancha de Basquetbol,,Circuito Parques del Centinela,2,Cancha Individual,1,Público
496,Parques del Centinela Residencial,,Cancha de Tenis,,Circuito Parques del Centinela,2,Cancha Individual,1,Público
497,San Isidro Residencial,,Inexistente,,,99,NINGUNO,99,NINGUNO
498,Quintas del Valle,,Cancha de Basquetbol,,Valle de las Quintas Oriente,2,Cancha Individual,1,Público
499,Misión del Valle,,Unidad Deportiva,,Prolongación Acueducto y Escuadrón 201,1,Unidad Deportiva,1,Público
499,Misión del Valle,,Cancha de basquetbol/futbol rápido,,Calle Acueducto y Escuadrón 201,2,Cancha Individual,1,Público
500,"Mandarinos, Los",,Cancha de basquetbol,,Valle de México y Privada Mandarinas Poniente,2,Cancha Individual,1,Público
501,Viveros del Valle,,Inexistente,,,99,NINGUNO,99,NINGUNO
502,Rinconadas del Aire,,Cancha de Basquetbol,,Calle Rinconada,2,Cancha Individual,1,Público
503,Flores del Valle,,Inexistente,,,99,NINGUNO,99,NINGUNO
504,Villas Muro Vekio,,Inexistente,,,99,NINGUNO,99,NINGUNO
505,Puerta la Plata,,Inexistente,,,99,NINGUNO,99,NINGUNO
506,Jardines de los Pinos,,Cancha de Basquet bol,Colonos,Privada Compositores,2,Cancha Individual,2,Privado
507,Portales de Santa Ana,,Inexistente,,,99,NINGUNO,99,NINGUNO
508,Villas Perisur,,Cancha de basquetbol,,Calle de la Esperanza,2,Cancha Individual,1,Público
509,Villa Bonita,,Unidad Deportiva Sindical SNTSS,SNTSS,Calle Mateo del Regil,1,Unidad Deportiva,2,Privado
510,Jardines del Álamo,RS,Inexistente,,,99,NINGUNO,99,NINGUNO
511,San Gerónimo,RS,Inexistente,,,99,NINGUNO,99,NINGUNO
512,Villas del Centinela,,Cancha de basquetbol,Vecinos,Bosques de Jalisco y Bosque del Centinela,2,Cancha Individual,1,Público
512,Villas del Centinela,,Cancha de basquetbol,Vecinos,Bosques de Aguascalientes y Bosques del Centinela,2,Cancha Individual,1,Público
513,Unidad Habitacional Los Belenes,,Inexistente,,,99,NINGUNO,99,NINGUNO
514,Senderos del Centinela,,Inexistente,,,99,NINGUNO,99,NINGUNO
515,Rinconada de los Sauces,,Cancha multiusos,,Rinconada de los Sauces y Privada Sauces,2,Cancha Individual,1,Público
515,Rinconada de los Sauces,,"Cancha de Futbol Rápido  ""San Isidro Soccer""",,Prolongación Pino Suárez y Rinconada de los Sauces,2,Cancha Individual,2,Privado
516,Valle de los Sauces (ó Rinconada San Isidro),,Cancha de basquetbol,Vecinos,Rinconada de los Pinos y Rinconada de los Laureles Poniente,2,Cancha Individual,1,Público
517,Haciendas la Herradura,,Inexistente,,,99,NINGUNO,99,NINGUNO
518,Valle de Nuevo México,3,Cancha de  basquetbol,,Paloma y Continuación Venustiano Carranza,2,Cancha Individual,1,Público
519,Bosque de los Encinos,3,Inexistente,,,99,NINGUNO,99,NINGUNO
520,Bosques de San Gonzalo,3,Inexistente,,,99,NINGUNO,99,NINGUNO
521,Porta Real,,Inexistente,,,99,NINGUNO,99,NINGUNO
522,Solares,,Gimnasio con alberca,,Coto Cinco,3,Club Deportivo,2,Privado
522,Solares,,Gimnasio con alberca,,Coto cuatro,3,Club Deportivo,2,Privado
522,Solares,,Gimnasio con alberca,,Coto uno,3,Club Deportivo,2,Privado
522,Solares,,Gimnasio con alberca,,Coto tres,3,Club Deportivo,2,Privado
522,Solares,,Gimnasio con alberca,,Coto Solares Antara,3,Club Deportivo,2,Privado
522,Solares,,Gimnasio con alberca,,Coto Seis,3,Club Deportivo,2,Privado
522,Solares,,Gimnasio con alberca,,Coto Saveira,3,Club Deportivo,2,Privado
522,Solares,,Gimnasio con alberca,,Coto dos,3,Club Deportivo,2,Privado
522,Solares,,Gimnasio con alberca,,Coto Santa Rosa,3,Club Deportivo,2,Privado
523,Altamira (Coto Privado),,Inexistente,,,99,NINGUNO,99,NINGUNO
524,Santa Catalina Hábitat Residencial,,Cancha de Basquet bol,,Santa Catalina Poniente,2,Cancha Individual,2,Privado
525,Puerta del Llano,,Cancha de Basquetbol,,Angus N° 355,2,Cancha Individual,1,Público
525,Puerta del Llano,,Cancha de Basquetbol,,Indubrasil,2,Cancha Individual,1,Público
526,Arauca,,Inexistente,,,99,NINGUNO,99,NINGUNO
527,Zapote (Nuevo México),3,Inexistente,,,99,NINGUNO,99,NINGUNO
528,"Tizate, El",7,Fut bool,,,2,Cancha Individual,2,Privado
529,"Patios, Los",RN,Cancha deportiva,,A un costado de la Casa de Salud,2,Cancha Individual,1,Público
530,Bolsa del Rayo,RN,Inexistente,,,99,NINGUNO,99,NINGUNO
531,"Cuchilla, La (ó Valle de la Providencia)",RN,Inexistente,,,99,NINGUNO,99,NINGUNO
532,San Rafael Tercero,RN,Cancha de Funtbol,,Calle San Rafael,2,Cancha Individual,1,Público
533,"Tarjea, La",RN,Inexistente,,,99,NINGUNO,99,NINGUNO
534,Real del Bosque,,Cancha de futbol,,Paseo de la Realeza y Real del Bosque,,Desconocido,2,Privado
535,Paseos del Camichín,,Cancha de futbol rapido,,Rinconada del Camichin,,Desconocido,,Desconocido
535,Paseos del Camichín,,Cancha de basquet,,Rinconada del Camichin y Caoba,,Desconocido,,Desconocido
537,"Fuerte, El",,Cancha de futbol,Coto,Interior del Coto,,Desconocido,2,Privado
540,Valle de los Molinos,,Cancha de futbol,,Valle de Zapopan y Valle de los Molinos,,Desconocido,1,Público
540,Valle de los Molinos,,Juegos infantiles y Cancha de basquet,,Valle de Zapopan,,Desconocido,1,Público
543,Girasoles Acueducto,,Cancha multiusos,COMUDE,Azaleas Norte y Privado Crisantemas,,Desconocido,2,Privado
547,Lago Real,,Cancha de basquetbol,,Av. Lago Real,,Desconocido,1,Público
