DECOMISOS,,,,,,,,,,,
VEGETAL VERDE (GRS.),,,,,,,,,,,
,,,,,,,,,,,
,146.60,392.40,433.90,248.10,237.50,193.90,,"4,003.10",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,786.20,679.40,356.00,219.30,124.70,185.10,,,,,
,,,,,,,,,,,
2008,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,"2,362.10",112.70,586.10,123.60,132.90,62.20,,"10,256.10",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,327.40,89.80,414.90,"3,047.90","2,907.10",89.40,,,,,
,,,,,,,,,,,
2009,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,85.10,56.80,59.40,563.80,571.00,43.70,,"2,676.70",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"1,026.20",62.80,109.70,37.60,11.50,49.10,,,2627.6,,
,,,,,,,,,,,
,,,,,,,,,FALSE,,
PLANTAS DE MARIHUANA,,,,,,,,,,,
,,,,,,,,,,,
2001,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,1,"1,600",0,13,0,0,,"1,786",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,0,0,0,0,167,5,,,,,
,,,,,,,,,,,
2002,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,17,10,588,16,"3,770","202,866",,"1,166,854",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"109,231","160,835","568,070","110,900","5,001","5,550",,,,,
,,,,,,,,,,,
2003,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,"195,103","338,503","82,501","140,001","25,092","118,660",,"1,548,095",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"74,660","70,183","350,486","63,398","29,505","60,003",,,,,
,,,,,TOTAL 2001-2003,,,"2,716,735",,,
,,,,,,,,,,,
2004,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,"147,842","10,000","8,153",476,"3,720",2,,"212,968",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"14,722","12,358","9,712","3,883",0,"2,100",,,,,
,,,,,,,,,,,
2005,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,333,"10,700","13,681","6,852","3,045","24,780",,"153,496",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"34,841","23,151","19,893","9,720",0,"6,500",,,,,
,,,,,,,,,,,
2006,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,0,"3,200","6,350","5,928","3,750","8,400",,"457,265",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"5,165","300,785","80,004","43,665",0,18,,,,,
,,,,,TOTAL    2004-2006,,,"823,729",,,
,,,,,,,,,,,
2007,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,"10,035","15,550","3,457","4,979","6,990","4,184",,"472,503",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"12,488","176,519","218,388","6,902","9,411","3,600",,,,,
,,,,,,,,,,,
2008,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,37,"18,250","91,551","50,340","14,553","194,500",,"844,940",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"54,000","67,500","127,501","155,002",6,"71,700",,,,,
,,,,,,,,,,,
2009,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,"48,250","53,171","56,605","60,107","123,704","450,007",,"1,362,364",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"221,004","93,014","158,900","67,902","29,700",0,,,1362364,,
,,,,,,,,,,,
,,,,,,,,,TRUE,,
INHALANTE (MLS.),,,,,,,,,,,
